stage,base_model_type,base_params,base_p1_sample_weight,base_p2_sample_weight,base_p4_sample_weight,p1p2_model_type,p1p2_params,boundary_p1_sample_weight,boundary_p2_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_recall,validation_min_recall,validation_off_by_one_accuracy,validation_mae,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_macro_recall,natural_min_recall,natural_off_by_one_accuracy,natural_mae,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.03,1.0,1.0,1.2,sgd_log,alpha=0.1,1.0,1.0,1.6139913823430039,0.6944,0.6935856372383397,0.6935856372383395,0.6944000000000001,0.624,0.9008,0.448,0.624,0.624,0.856,0.644,0.724,0.7266331658291457,0.726492082711442,0.7266194018089089,0.7264842901375564,0.6582914572864321,0.9045226130653267,0.4040201005025126,0.6582914572864321,0.6868686868686869,0.835,0.7135678391959799,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.4,sgd_log,alpha=0.1,1.0,1.0,1.6105948914161714,0.6936,0.6935248190269524,0.6935248190269524,0.6936,0.62,0.9016,0.448,0.62,0.624,0.844,0.668,0.712,0.7246231155778895,0.7248880992302886,0.7250126716723309,0.7244792142530836,0.6582914572864321,0.9025125628140703,0.4050251256281407,0.6582914572864321,0.6818181818181818,0.825,0.7185929648241206,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.15,1.4,sgd_log,alpha=0.1,1.0,1.0,1.610209199810611,0.6936,0.6938819996843515,0.6938819996843515,0.6936,0.62,0.8992,0.4504,0.62,0.636,0.84,0.66,0.712,0.7266331658291457,0.7269345630872281,0.7270544712552041,0.7265044921577586,0.6582914572864321,0.9025125628140703,0.4040201005025126,0.6582914572864321,0.696969696969697,0.825,0.7135678391959799,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.2,sgd_log,alpha=0.1,1.0,1.0,1.6093559458463442,0.6936,0.6926599097439075,0.6926599097439075,0.6936,0.62,0.9,0.4512,0.62,0.636,0.864,0.632,0.716,0.7286432160804021,0.7285191320441351,0.7286500203624097,0.7284944419065023,0.6582914572864321,0.9015075376884422,0.4040201005025126,0.6582914572864321,0.696969696969697,0.845,0.6984924623115578,0.7437185929648241
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.03,1.0,1.15,1.2,sgd_log,alpha=0.1,1.0,1.0,1.60833371220145,0.692,0.6915561870024168,0.6915561870024168,0.692,0.624,0.8976,0.4544,0.624,0.636,0.848,0.632,0.72,0.7246231155778895,0.7247046729061797,0.724834245279886,0.7244843408964012,0.6582914572864321,0.9015075376884422,0.4100502512562814,0.6582914572864321,0.6919191919191919,0.83,0.7035175879396985,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.15,1.4,sgd_log,alpha=0.05,1.0,1.0,1.6054437321233788,0.6912,0.6914728868722976,0.6914728868722976,0.6912,0.62,0.8992,0.452,0.624,0.62,0.84,0.66,0.712,0.721608040201005,0.7217345011097238,0.7218674988736336,0.7214590629917262,0.6532663316582915,0.9025125628140703,0.4100502512562814,0.6532663316582915,0.6767676767676768,0.825,0.7135678391959799,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.0,sgd_log,alpha=0.1,1.0,1.0,1.6052706696450036,0.6944,0.6926511160750058,0.6926511160750058,0.6944000000000001,0.616,0.8992,0.4504,0.624,0.632,0.896,0.616,0.704,0.7306532663316583,0.7300464924472622,0.7301916216195157,0.7304641896350439,0.6582914572864321,0.8994974874371859,0.40603015075376886,0.6582914572864321,0.6868686868686869,0.875,0.6984924623115578,0.7336683417085427
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.2,sgd_log,alpha=0.05,1.0,1.0,1.6045893937635884,0.6912,0.6902489896059805,0.6902489896059802,0.6912,0.62,0.9,0.4528,0.624,0.62,0.864,0.632,0.716,0.7236180904522613,0.7233254767688602,0.723469422488585,0.7234490127404701,0.6532663316582915,0.9015075376884422,0.4100502512562814,0.6532663316582915,0.6767676767676768,0.845,0.6984924623115578,0.7437185929648241
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.15,1.4,sgd_log,alpha=0.03,1.0,1.0,1.6038062203726158,0.6904,0.6906770339543594,0.6906770339543594,0.6904,0.62,0.8992,0.4528,0.62,0.62,0.84,0.66,0.712,0.7155778894472362,0.7155833576027067,0.7157310990114912,0.7154136845845388,0.6381909547738693,0.9025125628140703,0.41608040201005025,0.6381909547738693,0.6616161616161617,0.825,0.7135678391959799,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.2,sgd_log,alpha=0.03,1.0,1.0,1.602951181708169,0.6904,0.6894519695136148,0.6894519695136148,0.6904,0.62,0.9,0.4536,0.62,0.62,0.864,0.632,0.716,0.7175879396984924,0.7171354188512916,0.7172924738537066,0.7174036343332826,0.6381909547738693,0.9015075376884422,0.41708542713567837,0.6381909547738693,0.6616161616161617,0.845,0.6984924623115578,0.7437185929648241
